title,text
Levothyroxine,Levothyroxine is used to treat hypothyroidism (condition where the thyroid gland does not produce enough thyroid hormone). It is also used with surgery and radioactive iodine therapy to treat thyroid cancer. Levothyroxine is in a class of medications called hormones. It works by replacing thyroid hormone that is normally produced by the body.
Canagliflozin,"Canagliflozin is used along with diet and exercise, and sometimes with other medications, to lower blood sugar levels in people with type 2 diabetes (condition in which blood sugar is too high because the body does not produce or use insulin normally). Canagliflozin is also used to reduce the risk of stroke, heart attack, or death in people who have type 2 diabetes along with heart and blood vessel disease. Canagliflozin is also used to reduce the risk of end-stage kidney disease, worsening of kidney function, needing to be hospitalized for heart failure, and cardiovascular death in people who have type 2 diabetes along with severe kidney disease. Canagliflozin is in a class of medications called sodium-glucose co-transporter 2 (SGLT2) inhibitors. It lowers blood sugar by causing the kidneys to get rid of more glucose in the urine. Canagliflozin is not used to treat type 1 diabetes (condition in which the body does not produce insulin and, therefore, cannot control the amount of sugar in the blood)."
Scopolamine Transdermal Patch,Scopolamine is used to prevent nausea and vomiting caused by motion sickness or medications used during surgery. Scopolamine is in a class of medications called antimuscarinics. It works by blocking the effects of a certain natural substance (acetylcholine) on the central nervous system.
Betaxolol Ophthalmic,"Ophthalmic betaxolol is used to treat glaucoma, a condition in which increased pressure in the eye can lead to gradual loss of vision. Betaxolol is in a class of medications called beta blockers. It works by decreasing the pressure in the eye."
Vilazodone,"Vilazodone is used to treat depression. Vilazodone is in a class of medications called serotonin modulators. It works by increasing the amount of serotonin, a natural substance in the brain that helps maintain mental balance."
Clomiphene,"Clomiphene is used to induce ovulation (egg production) in women who do not produce ova (eggs) but wish to become pregnant (infertility). Clomiphene is in a class of medications called ovulatory stimulants. It works similarly to estrogen, a female hormone that causes eggs to develop in the ovaries and be released."
Timolol,Timolol is used to treat high blood pressure and to improve survival after a heart attack. It is also is used to prevent migraine headaches. Timolol is in a class of medications called beta blockers. It works by relaxing blood vessels and slowing heart rate to improve blood flow and decrease blood pressure.
Tetracycline,"Tetracycline is used to treat infections caused by bacteria including pneumonia and other respiratory tract infections; ; certain infections of skin, eye, lymphatic, intestinal, genital and urinary systems; and certain other infections that are spread by ticks, lice, mites, and infected animals. It is also used along with other medications to treat acne. Tetracycline is also used to treat plague and tuleramia (serious infections that may be spread on purpose as part of a bioterror attack). It can also be used in patients who cannot be treated with penicillin to treat certain types of food poisoning, and anthrax (a serious infection that may be spread on purpose as part of a bioterror attack).  Tetracycline is in a class of medications called tetracycline antibiotics. It works by preventing the growth and spread of bacteria."
Gemtuzumab Ozogamicin Injection,Gemtuzumab ozogamicin injection is used alone or in combination with other chemotherapy medications to treat a certain type of acute myeloid leukemia (AML; a type of cancer that begins in the white blood cells) in adults and children 1 month of age and older who were recently found to have this cancer. It is also used alone to treat a certain type of AML in adults and children 2 years of age and older whose cancer worsened during or after treatment with other chemotherapy medications. Gemtuzumab ozogamicin injection is in a class of medications called monoclonal antibodies. It works by helping to kill cancer cells.
Mitomycin Pyelocalyceal,Mitomycin pyelocalyceal is used to treat a certain type of urothelial cancer (cancer of the lining of the bladder and other parts of the urinary tract) in adults. Mitomycin is in a class of medications called anthracenediones (anticancer antibiotics). Mitomycin pyelocalyceal treats cancer by stopping the growth and spread of certain cells.
Avacopan,"Avacopan is used in adults along with other medications to treat granulomatosis with polyangiitis (Wegener's Granulomatosis) and microscopic polyangiitis, conditions in which the body attacks its own veins and other blood vessels, that can cause damage to organs, such as the heart and lungs. Avacopan is in a class of medications called complement inhibitors. It works by blocking the activity of the part of the immune system that may damage veins and other blood vessels."
Pyridostigmine,Pyridostigmine is used to decrease muscle weakness resulting from myasthenia gravis.
Tobramycin Injection,"Tobramycin injection is used to treat certain serious infections that are caused by bacteria such as meningitis (infection of the membranes that surround the brain and spinal cord) and infections of the blood, abdomen (stomach area), lungs, skin, bones, joints, and urinary tract. Tobramycin injection is in a class of medications called aminoglycoside antibiotics. It works by killing bacteria."
Setmelanotide Injection,"Setmelanotide injection is used to lose weight and then to keep from gaining back that weight in certain adults and children 6 years of age or older who are obese due to certain inherited conditions including proopiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency (inherited conditions that cause severe obesity) or Bardet-Biedl syndrome (BBS; an inherited condition that can cause severe obesity). Setmelanotide is in a class of medications called melanocortin 4 (MC4) receptor agonists. It works by activating pathways in the brain to promote weight loss by decreasing appetite and caloric intake, and increasing energy expenditure."
Lidocaine Transdermal Patch,"Prescription lidocaine transdermal (Dermalid, Lidoderm, Ztildo) is used to relieve the pain of post-herpetic neuralgia (PHN; burning, stabbing pains, or aches that may last for months or years after a shingles infection). Nonprescription (over-the-counter) lidocaine (Absorbine Jr, Aspercreme, Lidocare, Salonpas, others) is also available to relieve minor pain in shoulders, arms, neck and legs in adults and children 12 years of age and older. Lidocaine is in a class of medications called local anesthetics. It works by stopping nerves from sending pain signals."
Metronidazole,"Metronidazole is used to treat infections of the reproductive system, gastrointestinal (GI) tract, skin, heart, bone, joint, lung, blood, nervous system, and other areas of the body. It is also used to treat certain sexually transmitted diseases (STDs). Metronidazole is also used to treat bacterial vaginosis (an infection caused by too much of certain types of harmful bacteria in the vagina) in women. Metronidazole is in a class of medications called nitroimidazole antimicrobials. It works by stopping the growth of bacteria."
Primidone,Primidone is used alone or with other medications to control certain types of seizures. Primidone is in a class of medications called anticonvulsants. It works by decreasing abnormal electrical activity in the brain.
Acamprosate,Acamprosate is used along with counseling and social support to help people who have stopped drinking large amounts of alcohol (alcoholism) to avoid drinking alcohol again. Drinking alcohol for a long time changes the way the brain works. Acamprosate works by helping the brains of people who have drunk large amounts of alcohol to work normally again. Acamprosate does not prevent the withdrawal symptoms that people may experience when they stop drinking alcohol. Acamprosate has not been shown to work in people who have not stopped drinking alcohol or in people who drink large amounts of alcohol and also overuse or abuse other substances such as street drugs or prescription medications.
Midazolam Injection,"Midazolam injection is used before medical procedures and surgery to cause drowsiness, relieve anxiety, and prevent any memory of the event. It is also sometimes given as part of the anesthesia during surgery to produce a loss of consciousness. Midazolam injection is also used to cause a state of decreased consciousness in seriously ill people in intensive care units (ICU) who are breathing with the help of a machine. Midazolam injection is in a class of medications called benzodiazepines. It works by slowing activity in the brain to allow relaxation and decreased consciousness."
Cobimetinib,Cobimetinib is used along with vemurafenib (Zelboraf) to treat certain types of melanoma (a type of skin cancer) that cannot be treated with surgery or that has spread to other parts of the body. Cobimetinib is also used to treat histiocytic neoplasms (conditions that cause an overproduction and accumulation of a type of white blood cell in parts of the body). Cobimetinib is in a class of medications called kinase inhibitors. It works by blocking the action of an abnormal protein that signals cancer cells to multiply. This helps slow or stop the spread of cancer cells.
Rifamycin,Rifamycin is used to treat of travelers' diarrhea caused by certain bacteria. Rifamycin is in a class of medications called antibiotics. It works by stopping the growth of the bacteria that cause diarrhea.
Albuterol and Ipratropium Oral Inhalation,"The combination of albuterol and ipratropium is used to prevent wheezing, difficulty breathing, chest tightness, and coughing in people with chronic obstructive pulmonary disease (COPD; a group of diseases that affect the lungs and airways) such as chronic bronchitis (swelling of the air passages that lead to the lungs) and emphysema (damage to the air sacs in the lungs). Albuterol and ipratropium combination is used by people whose symptoms have not been controlled by a single inhaled medication. Albuterol and ipratropium are in a class of medications called bronchodilators. Albuterol and ipratropium combination works by relaxing and opening the air passages to the lungs to make breathing easier."
Degarelix Injection,Degarelix injection is used to treat advanced prostate cancer (cancer that begins in the prostate [a male reproductive gland]). Degarelix injection is in a class of medications called gonadotropin-releasing hormone (GnRH) receptor antagonists. It works by decreasing the amount of testosterone (a male hormone) produced by the body. This may slow or stop the spread of prostate cancer cells that need testosterone to grow.
Nateglinide,Nateglinide is used alone or in combination with other medications to treat type 2 diabetes (condition in which the body does not use insulin normally and therefore cannot control the amount of sugar in the blood) in people whose diabetes cannot be controlled by diet and exercise alone. Nateglinide belongs to a class of drugs called meglitinides. Nateglinide helps your body regulate the amount of glucose (sugar) in your blood. It decreases the amount of glucose by stimulating the pancreas to release insulin.
Hydrocodone Combination Products,"Hydrocodone is available in combination with other ingredients, and different combination products are prescribed for different uses. Some hydrocodone combination products are used to relieve severe pain (pain that begins suddenly, has a specific cause, and is expected to go away when the cause of the pain is healed) in people who are expected to need an opioid pain medication and whose symptoms cannot be controlled by the use of alternative pain medications. Other hydrocodone combination products are used to relieve cough in adults. Hydrocodone is in a class of medications called opiate (narcotic) analgesics and in a class of medications called antitussives. Hydrocodone relieves pain by changing the way the brain and nervous system respond to pain. Hydrocodone relieves cough by decreasing activity in the part of the brain that causes coughing."
Belantamab Mafodotin-blmf Injection,Belantamab mafodotin-blmf injection is used to treat multiple myeloma (a type of cancer of the bone marrow) that has returned or has not improved in adults who have received at least 4 other medications. Belantamab mafodotin-blmf is in a class of medications called antibody-drug conjugates. It works by killing cancer cells.
Zileuton,"Zileuton is used to prevent wheezing, shortness of breath, coughing, and chest tightness due to asthma. Zileuton is not used to treat an asthma attack (sudden episode of shortness of breath, wheezing, and coughing) that has already started. Zileuton belongs to a class of medications called leukotriene synthesis inhibitors. It works by stopping the formation of certain natural substances that cause swelling, tightening, and mucus production in the airways."
Aztreonam Injection,"Aztreonam injection is used to treat certain infections that are caused by bacteria, including respiratory tract (including pneumonia and bronchitis), urinary tract, blood, skin, gynecological, and abdominal (stomach area) infections, that are caused by bacteria. Aztreonam injection also may be used before, during, and sometimes for a brief period after surgery in order to prevent the patient from getting an infection. It is also used for the prevention of infections following colorectal surgery. Aztreonam is in a class of medications called monobactam antibiotics. It works by killing bacteria."
Azathioprine,"Azathioprine is used with other medications to prevent transplant rejection (attack of the transplanted organ by the immune system) in people who received kidney transplants. It is also used to treat severe rheumatoid arthritis (a condition in which the body attacks its own joints, causing pain, swelling, and loss of function) when other medications and treatments have not helped. Azathioprine is in a class of medications called immunosuppressants. It works by decreasing the activity of the body's immune system so it will not attack the transplanted organ or the joints."
Capsaicin Topical,"Topical capsaicin is used to relieve minor pain in muscles and joints caused by arthritis, backaches, muscle strains, bruises, cramps, and sprains. Capsaicin is a substance that is found in chili peppers. It works by affecting nerve cells in the skin that are associated with pain, which results in decreased activity of these nerve cells and a reduced sense of pain."
Cannabidiol,"Cannabidiol is used to control seizures in adults and children 1 year of age and older with Lennox-Gastaut syndrome (a disorder that begins in early childhood and causes seizures, developmental delays, and behavioral issues), Dravet syndrome (a disorder that begins in early childhood and causes seizures and later may lead to developmental delays and changes in eating, balance, and walking), or tuberous sclerosis complex (TSC; a genetic condition that causes tumors to grow in many organs). Cannabidiol is in a class of medications called cannabinoids. It is not known exactly how cannabidiol works to prevent seizure activity."
Sodium Polystyrene Sulfonate,Sodium polystyrene sulfonate is used to treat hyperkalemia (increased amounts of potassium in the body). Sodium polystyrene sulfonate is in a class of medications called potassium-removing agents. It works by removing excess potassium from the body.
Torsemide,"Torsemide is used alone or in combination with other medications to treat high blood pressure. Torsemide is used to treat edema (fluid retention; excess fluid held in body tissues) caused by various medical problems, including heart, kidney, or liver disease. Torsemide is in a class of medications called diuretics ('water pills'). It works by causing the kidneys to get rid of unneeded water and salt from the body into the urine."
Ferric Carboxymaltose Injection,Ferric carboxymaltose injection is used to treat iron-deficiency anemia (a lower than normal number of red blood cells due to too little iron) in adults and children 1 year of age and older who cannot tolerate or who could not successfully be treated with iron supplements taken by mouth. This medication is also used to treat iron deficiency anemia in adults with chronic kidney disease (damage to the kidneys which may worsen over time and may cause the kidneys to stop working) who are not on dialysis. Ferric carboxymaltose injection is also used to treat iron-deficiency anemia and improve the ability to exercise in certain adults with congestive heart failure (a condition when your heart cannot pump enough blood to the other parts of the body). Ferric carboxymaltose injection is in a class of medications called iron replacement products. It works by replenishing iron stores so that the body can make more red blood cells.
Haloperidol Injection,"Haloperidol injection and haloperidol extended-release injection are used to treat schizophrenia (a mental illness that causes disturbed or unusual thinking, loss of interest in life, and strong or inappropriate emotions). Haloperidol injection is also used to control motor tics (uncontrollable need to repeat certain body movements) and verbal tics (uncontrollable need to repeat sounds or words) in people who have Tourette's disorder (condition characterized by motor or verbal tics). Haloperidol is in a class of medications called conventional antipsychotics. It works by decreasing abnormal excitement in the brain."
Econazole Topical,"Econazole is used to treat skin infections such as athlete's foot, jock itch, and ringworm."
Trazodone,"Trazodone is used to treat depression. Trazodone is in a class of medications called serotonin modulators. It works by increasing the amount of serotonin, a natural substance in the brain that helps maintain mental balance."
Tenapanor (Ibsrela),"Tenapanor is used to treat irritable bowel syndrome with constipation (IBS-C; a condition that causes stomach pain or cramps, bloating, and infrequent or difficult passage of stools) in adults. Tenapanor is in a class of medications called sodium/hydrogen exchanger (NHE3) inhibitors. It works by increasing the movement of food and waste through the stomach and intestines."
Amivantamab-vmjw Injection,"Amivantamab-vmjw injection is used to treat a certain type of non-small cell lung cancer (NSCLC) that spread to other parts of the body or cannot be removed by surgery, and has worsened either during or after treatment with platinum chemotherapy medications. Amivantamab-vmjw injection is in a class of medications called bispecific antibodies. It works by helping your immune system to slow or stop the growth of cancer cells."
Amoxicillin and Clavulanic Acid,"The combination of amoxicillin and clavulanic acid is used to treat certain infections caused by bacteria, including infections of the ears, lungs, sinus, skin, and urinary tract. Amoxicillin is in a class of medications called penicillin-like antibiotics. It works by stopping the growth of bacteria. Clavulanic acid is in a class of medications called beta-lactamase inhibitors. It works by preventing bacteria from destroying amoxicillin."
Ofatumumab Injection (Chronic Lymphocytic Leukemia),Ofatumumab injection is in a class of medications called monoclonal antibodies. It works by killing cancer cells.
Imipramine,Imipramine tablets and capsules are used to treat depression. Imipramine tablets are also used to prevent bedwetting in children. Imipramine is in a class of medications called tricyclic antidepressants. It treats depression by increasing the amounts of certain natural substances in the brain that are needed to maintain mental balance. There is not enough information to explain how imipramine prevents bedwetting.
Naldemedine,Naldemedine is used to treat constipation caused by opioid (narcotic) pain medications in adults with chronic (ongoing) pain that is not caused by cancer. Naldemedine is in a class of medications called peripherally acting mu-opioid receptor antagonists. It works by protecting the bowel from the effects of opioid (narcotic) medications.
Anastrozole,"Anastrozole is used with other treatments, such as surgery or radiation, to treat early breast cancer in women who have experienced menopause (change of life; end of monthly menstrual periods). This medication is also used in women, who have experienced menopause, as a first treatment of breast cancer that has spread within the breast or to other areas of the body. This medication is also used to treat breast cancer in women whose breast cancer has worsened after taking tamoxifen (Nolvadex). Anastrozole is in a class of medications called nonsteroidal aromatase inhibitors. It works by decreasing the amount of estrogen the body makes. This can slow or stop the growth of many types of breast cancer cells that need estrogen to grow."
Calcitonin Salmon Nasal Spray,Calcitonin salmon is used to treat osteoporosis in women who are at least 5 years past menopause and cannot or do not want to take estrogen products. Osteoporosis is a disease that causes bones to weaken and break more easily. Calcitonin is a human hormone that is also found in salmon. It works by preventing bone breakdown and increasing bone density (thickness).
Cyclosporine Injection,"Cyclosporine injection is used with other medications to prevent transplant rejection (attack of the transplanted organ by the immune system of the person receiving the organ) in people who have received kidney, liver, and heart transplants. Cyclosporine injection should only be used to treat people who are unable to take cyclosporine by mouth. Cyclosporine is in a class of medications called immunosuppressants. It works by decreasing the activity of the immune system."
Cefuroxime Injection,"Cefuroxime injection is used to treat certain infections caused by bacteria including pneumonia and other lower respiratory tract (lung) infections; meningitis (infection of the membranes that surround the brain and spinal cord); gonorrhea (a sexually transmitted disease); and skin, blood, bone, joint, and urinary tract infections. Cefuroxime injection may also be used before, during, and sometimes for a brief period after surgery in order to prevent the patient from getting an infection. Cefuroxime injection is in a class of medications called cephalosporin antibiotics. It works by killing bacteria."
Protriptyline,Protriptyline is used to treat depression. Protriptyline is in a class of medications called tricyclic antidepressants. It works by increasing the amounts of certain natural substances in the brain that help maintain mental balance.
Doxazosin,"Doxazosin is used in men to treat the symptoms of an enlarged prostate (benign prostatic hyperplasia or BPH), which include difficulty urinating (hesitation, dribbling, weak stream, and incomplete bladder emptying), painful urination, and urinary frequency and urgency. It is also used alone or in combination with other medications to treat high blood pressure. Doxazosin is in a class of medications called alpha-blockers. It relieves the symptoms of BPH by relaxing the muscles of the bladder and prostate. It lowers blood pressure by relaxing the blood vessels so that blood can flow more easily through the body."
"Penicillin G (Potassium, Sodium) Injection",Penicillin G injection is used to treat and prevent certain infections caused by bacteria. Penicillin G injection is in a class of medications called penicillins. It works by killing bacteria that cause infections.
Clemastine,"Clemastine is used to relieve hay fever and allergy symptoms, including sneezing; runny nose; and red, itchy, tearing eyes. Prescription strength clemastine is also used to relieve the itching and swelling of hives. Clemastine helps control symptoms of allergies and colds but does not treat the cause of these symptoms or speed recovery. Clemastine is in a class of medications called antihistamines. It works by blocking the action of histamine, a substance in the body that causes allergic symptoms."
Aspirin Rectal,"Aspirin rectal is used to reduce fever and to relieve mild to moderate pain from headaches, menstrual periods, arthritis, toothaches, and muscle aches. Aspirin is in a group of medications called salicylates. It works by stopping the production of certain natural substances that cause fever, pain, swelling, and blood clots."
Moxetumomab Pasudotox-tdfk Injection,Moxetumomab pasudotox-tdfk injection is used to treat hairy cell leukemia (cancer of a certain type of white blood cell) that has returned or has not responded after at least two other cancer treatments. Moxetumomab pasudotox-tdfk injection is in a class of medications called monoclonal antibodies. It works by helping your immune system to slow or stop the growth of cancer cells.
Azelastine Ophthalmic,"Ophthlamic azelastine is used to relieve the itching of allergic pink eye. Azelastine is in a class of medications called antihistamines. It works by blocking histamine, a substance in the body that causes allergic symptoms."
Clofarabine Injection,Clofarabine is used to treat acute lymphoblastic leukemia (ALL; a type of cancer of the white blood cells) in children and young adults 1 to 21 years old who have already received at least two other treatments. Clofarabine is in a class of medications called purine nucleoside antimetabolites. It works by killing existing cancer cells and limiting the development of new cancer cells.
Erythromycin,"Erythromycin is used to treat certain infections caused by bacteria, such as infections of the respiratory tract, including bronchitis, pneumonia, Legionnaires' disease (a type of lung infection), and pertussis (whooping cough; a serious infection that can cause severe coughing); diphtheria (a serious infection in the throat); sexually transmitted diseases (STD), including syphilis; and ear, intestine, gynecological, urinary tract, and skin infections. It also is used to prevent recurrent rheumatic fever. Erythromycin is in a class of medications called macrolide antibiotics. It works by stopping the growth of bacteria."
Stavudine,"Stavudine is used along with other medications to treat human immunodeficiency virus (HIV) infection. Stavudine is in a class of medications called nucleoside reverse transcriptase inhibitors (NRTIs). It works by decreasing the amount of HIV in the blood. Although stavudine does not cure HIV, it may decrease your chance of developing acquired immunodeficiency syndrome (AIDS) and HIV-related illnesses such as serious infections or cancer. Taking these medications along with practicing safer sex and making other life-style changes may decrease the risk of transmitting (spreading) the HIV virus to other people."
Estradiol Topical,"Estradiol topical gel and spray are used to treat and prevent hot flushes (hot flashes; sudden strong feelings of heat and sweating) in women who are experiencing menopause (change of life; the end of monthly menstrual periods). Estradiol topical gel is also used to treat vaginal dryness, itching, and burning in women who are experiencing menopause. However, women whose only bothersome symptoms are vaginal burning, itching, and dryness may benefit more from a medication that is applied topically to the vagina. Estradiol is in a class of medications called estrogen hormones. It works by replacing estrogen that is normally produced by the body."
PrabotulinumtoxinA-xvfs Injection,PrabotulinumtoxinA-xvfs injection is used to temporarily smooth frown lines (wrinkles between the eyebrows) in adults. It is in a class of medications called neurotoxins. It works by blocking the nerve signals that cause uncontrollable tightening and movement of the muscles.
Ciclopirox Topical,"Ciclopirox topical solution is used along with regular nail trimming to treat fungal infections of the fingernails and toenails (an infection that may cause nail discoloration, splitting and pain). Ciclopirox is in a class of medications called antifungals. It works by stopping the growth of nail fungus."
Efgartigimod alfa-fcab Injection,Efgartigimod alfa-fcab injection is used to treat a certain form of myasthenia gravis (MG; a disorder of the nervous system that causes muscle weakness). Efgartigimod alfa-fcab is in a group of medications called monoclonal antibodies. It works by reducing a certain natural substance in the body that causes symptoms of myasthenia gravis.
Adefovir,Adefovir is used to treat chronic (long-term) hepatitis B infection (swelling of the liver caused by a virus) in adults and children 12 years of age and older. Adefovir is in a class of medications called nucleotide analogs. It works by decreasing the amount of hepatitis B virus (HBV) in the body. Adefovir will not cure hepatitis B and may not prevent complications of chronic hepatitis B such as cirrhosis of the liver or liver cancer. Adefovir may not prevent the spread of hepatitis B to other people.
Ganciclovir,Ganciclovir capsules are used to treat cytomegalovirus (CMV) retinitis (eye infection that can cause blindness) in people whose immune system is not working normally. Ganciclovir capsules are used to treat CMV retinitis after the condition has been controlled by intravenous (injected into a vein) ganciclovir. Ganciclovir is also used to prevent cytomegalovirus (CMV) disease in people who have acquired immunodeficiency syndrome (AIDS) or who have received an organ transplant and are at risk of CMV disease. Ganciclovir is in a class of medications called antivirals. It works by preventing the spread of CMV disease or slowing the growth of CMV.
Minocycline Topical,Minocycline topical (Amzeeq) is used to treat certain types of acne in adults and children 9 years of age and older. Minocyclinetopical (Zilxi) is used to treat inflammatory lesions of rosacea in adults. Minocycline is in a class of medications called tetracycline antibiotics. It works to treat acne by killing the bacteria that infects pores and decreasing a certain natural oily substance that causes acne.
Doxycycline Injection,"Doxycycline injection is used to treat or prevent bacterial infections, including pneumonia and other respiratory tract infections. It is also used to treat certain skin, genital, intestine, and urinary system infections. Doxycycline injection may be used to treat or prevent anthrax (a serious infection that may be spread on purpose as part of a bioterror attack) in people who may have been exposed to anthrax in the air. Doxycycline injection is in a class of medications called tetracycline antibiotics. It works by killing bacteria that cause infections."
Ergocalciferol,"Ergocalciferol is used in the treatment of hypoparathyroidism (condition in which the body does not produce enough parathyroid hormone), refractory rickets (softening and weakening of bones that does not respond to treatment), and familial hypophosphatemia (rickets or osteomalacia caused by an inherited condition with a decreased ability to break down vitamin D in the body). Ergocalciferol is in a class of medications called vitamin D analogs. It works by helping the body to use more of the calcium found in foods or supplements."
Miconazole Buccal,Buccal miconazole is used to treat yeast infections of the mouth and throat in adults and children 16 years of age and older. Miconazole buccal is in a class of medications called imidazoles. It works by stopping the growth of fungi that cause infection.
Ezetimibe,"Ezetimibe is used along with diet, alone or in combination with another cholesterol-lowering medications (HMG-CoA reductase inhibitors [statins]) to reduce the amount of low-density lipoprotein (LDL) cholesterol ('bad cholesterol') in the blood in adults and children 10 years of age or older who have familial heterozygous hypercholesterolemia (an inherited condition in which cholesterol cannot be removed from the body normally).  It is also used along with diet, alone or in combination with other cholesterol-lowering medications (HMG-CoA reductase inhibitors [statins] or fenofibrate) in adults who have too many fats in the blood. Ezetimibe is also used with other medications to reduce the amount of LDL cholesterol in the blood in adults and children 10 years of age or older who have homozygous familial hypercholesterolemia (HoFH; an inherited condition in which cholesterol cannot be removed from the body normally). It is also used to reduce the amount of other fatty substances in the blood in adults and children 9 years of age or older who have homozygous familial sitosterolemia (an inherited condition in which fatty substances from vegetable oils, nuts, and other plant-based foods cannot be removed from the body normally). Ezetimibe is in a class of medications called cholesterol-lowering medications. It works by preventing the absorption of cholesterol in the intestine."
Penicillin G Procaine Injection,Penicillin G procaine injection is used to treat certain infections caused by bacteria. Penicillin G procaine injection should not be used to treat gonorrhea (a sexually transmitted disease) or early in the treatment of certain serious infections. Penicillin G procaine injection is in a class of medications called penicillins. It works by killing bacteria that cause infections.
Baloxavir Marboxil,"Baloxavir marboxil is used to treat some types of influenza infection ('flu') in adults and children 5 years and older who have had symptoms of the flu for no longer than 2 days and who are otherwise healthy or are at high risk for developing influenza-related complications. Baloxavir marboxil is also used to treat some types of flu in adults and children 12 years and older who have had symptoms of the flu for no longer than 2 days and who are at high risk for developing influenza-related complications. It is also used to prevent some types of flu in adults and children 5 years and older when they have spent time with someone who has the flu. Baloxavir marboxil is in a class of medications called polymerase acidic endonuclease inhibitors. It works by stopping the spread of the flu virus in the body. Baloxavir marboxil helps to shorten the time that flu symptoms such as a stuffy or runny nose, sore throat, cough, muscle or joint aches, tiredness, headache, fever, and chills last. Baloxavir marboxil will not prevent bacterial infections, which may occur as a complication of the flu."
Eliglustat,"Eliglustat is used to treat Gaucher disease type 1 (a condition in which a certain fatty substance is not broken down normally in the body and builds up in some organs and causes liver, spleen, bone, and blood problems) in certain people. Eliglustat is in a class of medications called enzyme inhibitors. It works by preventing the body from producing the fatty substance so that less of it will build up in the body and cause symptoms."
"Elexacaftor, Tezacaftor, and Ivacaftor","The combination of elexacaftor, tezacaftor, and ivacaftor is used to treat certain types of cystic fibrosis (an inborn disease that causes problems with breathing, digestion, and reproduction) in adults and children 2 years of age and older. It should be used only in people with a certain genetic make-up. Your doctor may order a blood test to help decide if this medication is right for you. Elexacaftor and tezacaftor are in a class of medications called cystic fibrosis transmembrane conductance regulator (CFTR) correctors. Ivacaftor is in a class of medications called cystic fibrosis transmembrane conductance regulator (CFTR) potentiators. These medications work by improving the function of a protein in the body to decrease the build-up of thick mucus in the lungs and improve other cystic fibrosis symptoms."
Talazoparib,Talazoparib is used alone to treat certain types of breast cancer that has spread within the breast or to other areas of the body. Talazoparib is also used with enzalutamide (Xtandi) to treat certain types of prostate cancer that has spread to other parts of the body in men and who have not been helped by certain medical and surgical treatments that decrease testosterone levels. Talazoparib is in a class of medications called poly (ADP-ribose) polymerase (PARP) inhibitors. It works by stopping or slowing the growth of cancer cells.
Oxiconazole,"Oxiconazole, an antifungal agent, is used to treat skin infections such as athlete's foot, jock itch, and ringworm."
Cefotaxime Injection,"Cefotaxime injection is used to treat certain infections caused by bacteria including pneumonia and other lower respiratory tract (lung) infections; gonorrhea (a sexually transmitted disease); meningitis (infection of the membranes that surround the brain and spinal cord) and other brain and spinal cord infections; and abdominal (stomach area), female reproductive organs, skin, blood, bone, joint, and urinary tract infections. Cefotaxime injection may also be used before surgery, and during and after a cesarean section, in order to prevent the patient from getting an infection. Cefotaxime injection is in a class of medications called cephalosporin antibiotics. It works by killing bacteria."
Teriflunomide,"Teriflunomide is used to treat adults with various forms of multiple sclerosis (MS; a disease in which the nerves do not function properly and people may experience weakness, numbness, loss of muscle coordination, and problems with vision, speech, and bladder control) including:"
Thyroid,"Thyroid is used to treat the symptoms of hypothyroidism (a condition where the thyroid gland does not produce enough thyroid hormone). Symptoms of hypothyroidism include lack of energy, depression, constipation, weight gain, hair loss, dry skin, dry coarse hair, muscle cramps, decreased concentration, aches and pains, swelling of the legs, and increased sensitivity to cold. Thyroid is also used to treat goiter (enlarged thyroid gland). Thyroid is in a class of medications called thyroid agents. It works by supplying the thyroid hormone normally produced by the body."
Trihexyphenidyl,"Trihexyphenidyl is used along with other medications to treat the symptoms of Parkinson's disease (PD; a disorder of the nervous system that causes difficulties with movement, muscle control, and balance) and to control extrapyramidal symptoms (tremor, slurred speech) caused by certain medications. Trihexyphenidyl is in a class of medications called antimuscarinics. It works by relaxing muscles and nerve impulses that control the function of muscles."
Benzyl Alcohol Topical,"Benzyl alcohol lotion is used to treat head lice (small insects that attach themselves to the skin) in adults and children 6 months of age and older. It should not be used in children less than 6 months of age. Benzyl alcohol is in a class of medications called pediculicides. It works by killing the lice. Benzyl alcohol lotion will not kill lice eggs, so the medication must be used a second time to kill the lice that may hatch from these eggs."
Ceftazidime and Avibactam Injection,"The combination of ceftazidime and avibactam injection is used with metronidazole (Flagyl) to treat abdominal (stomach area) infections. It is also used to treat pneumonia that developed in people who are on ventilators or who were in a hospital, and kidney and urinary tract infections. Ceftazidime is in a class of medications called cephalosporin antibiotics. It works by killing bacteria. Avibactam is in a class of medications called beta-lactamase inhibitors. It works by preventing bacteria from breaking down ceftazidime."
